Time_ms;Coronal;Sagital;Transversal;1;2
1710;-0.2750210837754741;-0.4327555305444916;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.05,0.39,304658;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241928;
1731;-0.8021487637120154;-0.4327555305444916;-0.5966874176857955;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.06,0.39,304699;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241928;
1751;-0.8021487637120154;0.09100581753596763;-0.5966874176857955;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.06,0.40,304740;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241928;
1772;-0.6245305929338386;0.09100581753596763;-0.0526717103253221;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.06,0.40,304740;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241969;
1792;-0.6245305929338386;0.09100581753596763;-0.0526717103253221;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.06,0.40,304740;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242010;
1813;-0.8021487637120154;0.09100581753596763;-0.5966874176857955;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.06,0.40,304740;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242051;
1833;-0.8021487637120154;0.09100581753596763;-0.5966874176857955;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.06,0.40,304781;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242051;
1854;-0.8021487637120154;0.09155863632460846;-0.5966874176857955;#DCM=0.39,0.43,-0.82,-0.12,0.90,0.42,0.91,-0.06,0.40,304822;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242051;
1874;-0.8021487637120154;0.16596828337821362;-0.5966874176857955;#DCM=0.39,0.43,-0.82,-0.12,0.90,0.41,0.91,-0.06,0.40,304863;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242051;
1895;-0.8021487637120154;0.16596828337821362;-0.5966874176857955;#DCM=0.39,0.43,-0.82,-0.12,0.90,0.41,0.91,-0.06,0.40,304863;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242092;
1915;-0.8021487637120154;0.16596828337821362;-0.5966874176857955;#DCM=0.39,0.43,-0.82,-0.12,0.90,0.41,0.91,-0.06,0.40,304863;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242132;
1925;-0.8021487637120154;0.16596828337821362;-0.5966874176857955;#DCM=0.39,0.43,-0.82,-0.12,0.90,0.41,0.91,-0.06,0.40,304863;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242153;
1946;-0.8021487637120154;0.16596828337821362;-0.5966874176857955;#DCM=0.39,0.43,-0.82,-0.12,0.90,0.41,0.91,-0.06,0.40,304863;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242194;
1966;-0.6245305929338386;0.16596828337821362;-0.0526717103253221;#DCM=0.39,0.43,-0.82,-0.12,0.90,0.41,0.91,-0.06,0.40,304863;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242235;
1987;-0.6245305929338386;0.16573814358904626;-0.0526717103253221;#DCM=0.39,0.43,-0.82,-0.13,0.90,0.41,0.91,-0.06,0.40,304904;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242235;
2007;-0.09740291299729731;0.16573814358904626;0.17688254772586492;#DCM=0.39,0.43,-0.82,-0.13,0.90,0.41,0.91,-0.05,0.40,304945;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242235;
2028;-0.09740291299729731;0.16573814358904626;0.17688254772586492;#DCM=0.39,0.43,-0.82,-0.13,0.90,0.41,0.91,-0.05,0.40,304986;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242235;
2048;-0.09740291299729731;0.16573814358904626;0.17688254772586492;#DCM=0.39,0.43,-0.82,-0.13,0.90,0.41,0.91,-0.05,0.40,304986;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242276;
2069;-0.09740291299729731;0.16573814358904626;0.17688254772586492;#DCM=0.39,0.43,-0.82,-0.13,0.90,0.41,0.91,-0.05,0.40,304986;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242317;
2089;-0.09740291299729731;0.16573814358904626;0.17688254772586492;#DCM=0.39,0.43,-0.82,-0.13,0.90,0.41,0.91,-0.05,0.40,304986;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242358;
2110;-0.09740291299729731;0.16573814358904626;0.17688254772586492;#DCM=0.39,0.43,-0.82,-0.13,0.90,0.41,0.91,-0.05,0.40,304986;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242399;
2130;-0.09740291299729731;0.9087954855879908;0.17688254772586492;#DCM=0.39,0.43,-0.81,-0.13,0.90,0.41,0.91,-0.05,0.41,305027;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242399;
2151;-0.6245305929338386;0.834499557213468;-0.0526717103253221;#DCM=0.39,0.43,-0.81,-0.13,0.90,0.42,0.91,-0.06,0.41,305068;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242399;
2171;-0.6245305929338386;0.834499557213468;-0.0526717103253221;#DCM=0.39,0.43,-0.81,-0.13,0.90,0.42,0.91,-0.06,0.41,305108;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242399;
2181;-0.6245305929338386;0.834499557213468;-0.0526717103253221;#DCM=0.39,0.43,-0.81,-0.13,0.90,0.42,0.91,-0.06,0.41,305129;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242399;
2202;-0.6245305929338386;0.834499557213468;-0.0526717103253221;#DCM=0.39,0.43,-0.81,-0.13,0.90,0.42,0.91,-0.06,0.41,305170;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242399;
2222;-0.6245305929338386;0.834499557213468;-0.0526717103253221;#DCM=0.39,0.43,-0.81,-0.13,0.90,0.42,0.91,-0.06,0.41,305170;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242440;
2243;-0.6245305929338386;0.834499557213468;-0.0526717103253221;#DCM=0.39,0.43,-0.81,-0.13,0.90,0.42,0.91,-0.06,0.41,305170;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242481;
2263;-0.6245305929338386;0.834499557213468;-0.0526717103253221;#DCM=0.39,0.43,-0.81,-0.13,0.90,0.42,0.91,-0.06,0.41,305170;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242522;
2284;-0.6245305929338386;0.834499557213468;-0.0526717103253221;#DCM=0.39,0.43,-0.81,-0.13,0.90,0.42,0.91,-0.06,0.41,305170;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242563;
2304;-0.6245305929338386;0.09142500592119182;-0.0526717103253221;#DCM=0.39,0.43,-0.82,-0.13,0.90,0.42,0.91,-0.06,0.40,305211;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242563;
2325;-0.09740291299729731;0.16573814358904626;0.17688254772586492;#DCM=0.39,0.43,-0.82,-0.13,0.90,0.41,0.91,-0.05,0.40,305252;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242563;
2345;-0.09740291299729731;0.16641254419688517;0.17688254772586492;#DCM=0.38,0.43,-0.82,-0.13,0.90,0.41,0.91,-0.05,0.40,305293;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242563;
2366;-0.09740291299729731;0.16641254419688517;0.17688254772586492;#DCM=0.38,0.43,-0.82,-0.13,0.90,0.41,0.91,-0.05,0.40,305334;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242563;
2386;-0.09740291299729731;0.16641254419688517;0.17688254772586492;#DCM=0.38,0.43,-0.82,-0.13,0.90,0.41,0.91,-0.05,0.40,305334;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,242604;
